Total Reads                   46
Total Tags                    46
Total Assigned Tags           44
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             1                   0.00              
5'UTR_Exons         962658              1                   0.00              
3'UTR_Exons         1658717             8                   0.00              
Introns             28945478            28                  0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             2                   0.00              
TSS_up_10kb         6431897             4                   0.00              
TES_down_1kb        897960              0                   0.00              
TES_down_5kb        3730691             0                   0.00              
TES_down_10kb       6414154             2                   0.00              
=====================================================================
